#, time, Left, Right, Bottle, Bottle Amount, Sleep time, wet, solid, Pump Amount 
2553, 01/26/16 00:28:36, 0:0, 15:0, 0:0, 
2554, 01/26/16 02:17:52, 7:35, 0:0, 0:0, 
2555, 01/26/16 03:29:31, 9:44, 10:8, 0:0, 
2556, 01/26/16 05:46:22, 31:4, 0:0, 0:0, 
2557, 01/26/16 07:38:40, 0:0, 15:0, 0:0, 
2558, 01/26/16 10:06:30, 15:0, 0:0, 0:0, 
2559, 01/26/16 12:15:27, 11:14, 0:0, 0:0, 
2560, 01/26/16 14:19:54, 0:0, 20:6, 0:0, 

1553, 10/24/15 23:31:25, 0:0, 7:37, , , , , , 100ml 
1737, 11/10/15 00:48:38, 0:0, 0:1, , , , , , 100ml 
2297, 12/30/15 18:54:38, 40:59, 0:0, , , , , , 1oz 

1, 06/21/15 01:19:50, , , , ,0:39:28
2, 06/21/15 02:08:15, , , , ,0:29:40
3, 06/21/15 02:52:03, , , , ,1:30:3
4, 08/15/15 19:35:04, , , , ,0:47:3
5, 08/15/15 22:24:44, , , , ,1:38:32
6, 08/16/15 02:45:00, , , , ,2:31:0
7, 08/16/15 05:30:00, , , , ,2:30:0
8, 08/16/15 08:15:00, , , , ,2:45:0
9, 08/16/15 13:14:13, , , , ,2:11:27
10, 08/16/15 17:31:56, , , , ,1:44:0
11, 08/16/15 20:52:06, , , , ,1:38:25
12, 08/16/15 22:45:39, , , , ,1:8:3
13, 08/17/15 03:01:36, , , , ,2:44:36
14, 08/17/15 06:04:34, , , , ,1:23:37
15, 08/17/15 07:37:38, , , , ,0:10:35
16, 08/17/15 07:50:20, , , , ,1:44:48
17, 08/17/15 14:02:00, , , , ,0:48:0
18, 08/17/15 15:43:46, , , , ,1:0:36
19, 08/17/15 18:30:00, , , , ,0:30:0
20, 08/17/15 19:18:00, , , , ,0:59:0
21, 08/18/15 02:34:55, , , , ,0:30:56
22, 08/18/15 04:15:00, , , , ,3:15:0
23, 08/18/15 07:30:00, , , , ,3:0:0
24, 08/18/15 11:03:00, , , , ,2:0:0
25, 08/18/15 15:12:10, , , , ,0:26:32
26, 08/18/15 20:17:06, , , , ,0:42:54
27, 08/18/15 23:21:15, , , , ,0:48:20
28, 08/19/15 00:22:22, , , , ,0:19:14
29, 08/19/15 01:00:21, , , , ,0:43:29
30, 08/19/15 02:01:29, , , , ,0:18:31
31, 08/19/15 03:56:38, , , , ,2:19:23
32, 08/19/15 06:22:34, , , , ,2:19:25
33, 08/19/15 08:50:25, , , , ,3:44:7
34, 08/19/15 15:13:21, , , , ,1:16:25
35, 08/19/15 20:01:00, , , , ,1:0:5
36, 08/20/15 01:52:15, , , , ,3:4:9
37, 08/20/15 16:56:24, , , , ,0:26:43
38, 08/21/15 23:07:00, , , , ,1:0:0
39, 08/22/15 01:30:00, , , , ,3:0:0
40, 08/22/15 05:10:00, , , , ,3:0:0
41, 08/22/15 08:18:00, , , , ,5:0:0
42, 08/22/15 15:19:27, , , , ,0:39:45
43, 08/22/15 18:51:36, , , , ,1:44:46
44, 08/22/15 23:36:06, , , , ,0:39:39
45, 08/23/15 02:32:30, , , , ,1:52:37
46, 08/23/15 13:36:41, , , , ,0:22:0
47, 08/23/15 16:16:43, , , , ,0:0:1
48, 08/24/15 16:33:06, , , , ,0:59:10
49, 08/24/15 18:43:08, , , , ,0:41:21
50, 08/24/15 20:00:00, , , , ,0:28:19
51, 08/24/15 20:27:47, , , , ,2:4:33
52, 08/25/15 16:31:25, , , , ,0:15:56
53, 08/31/15 13:30:00, , , , ,1:0:0
54, 09/01/15 13:54:53, , , , ,0:55:16
55, 09/01/15 17:01:19, , , , ,0:39:8
56, 09/01/15 18:49:03, , , , ,0:7:0
57, 09/01/15 21:03:37, , , , ,0:8:5
58, 09/01/15 22:28:08, , , , ,1:49:18
59, 09/02/15 02:06:08, , , , ,0:21:41
60, 09/02/15 03:01:29, , , , ,3:0:56
61, 09/02/15 10:45:00, , , , ,2:12:0
62, 09/02/15 16:57:35, , , , ,0:28:51
63, 09/02/15 19:50:26, , , , ,1:41:24
64, 09/03/15 13:45:58, , , , ,1:23:44
65, 09/03/15 15:50:11, , , , ,0:27:14
66, 09/03/15 18:44:00, , , , ,0:47:58
67, 09/03/15 21:15:00, , , , ,1:31:19
68, 09/04/15 14:00:00, , , , ,1:0:0
69, 09/04/15 20:27:26, , , , ,0:27:55
70, 09/04/15 23:17:44, , , , ,1:10:54
71, 09/05/15 12:19:20, , , , ,2:23:54
72, 09/05/15 16:14:15, , , , ,0:54:2
73, 09/05/15 19:30:00, , , , ,0:20:0
74, 09/05/15 22:07:34, , , , ,0:22:26
75, 09/05/15 22:47:00, , , , ,1:0:23
76, 09/06/15 00:09:39, , , , ,0:25:23
77, 09/06/15 15:00:00, , , , ,1:25:51
78, 09/06/15 16:25:00, , , , ,1:0:0
79, 09/06/15 19:32:00, , , , ,0:46:22
80, 09/06/15 22:13:26, , , , ,1:24:21
81, 09/07/15 01:24:00, , , , ,0:38:45
82, 09/07/15 17:28:00, , , , ,0:38:6
83, 09/07/15 20:10:47, , , , ,0:20:29
84, 09/07/15 20:48:20, , , , ,1:35:33
85, 09/08/15 23:08:14, , , , ,0:51:13
86, 09/09/15 00:12:00, , , , ,1:52:26
87, 09/09/15 13:58:00, , , , ,1:32:0
88, 09/09/15 18:00:00, , , , ,1:33:55
89, 09/10/15 00:01:00, , , , ,0:44:0
90, 09/10/15 02:30:00, , , , ,0:23:0
91, 09/10/15 03:06:31, , , , ,0:33:31
92, 09/10/15 14:39:18, , , , ,1:40:33
93, 09/10/15 18:13:21, , , , ,1:56:39
94, 09/10/15 22:36:34, , , , ,0:18:26
95, 09/10/15 23:41:50, , , , ,2:18:10
96, 09/11/15 03:38:58, , , , ,0:19:34
97, 09/11/15 14:00:00, , , , ,1:0:43
98, 09/11/15 17:15:00, , , , ,0:25:0
99, 09/11/15 19:02:34, , , , ,0:36:55
100, 09/11/15 21:00:00, , , , ,0:53:2
101, 09/12/15 02:00:00, , , , ,0:30:9
102, 09/12/15 02:55:26, , , , ,2:2:47
103, 09/12/15 15:20:10, , , , ,0:55:56
104, 09/12/15 18:10:00, , , , ,0:22:0
105, 09/12/15 19:10:00, , , , ,0:30:0
106, 09/12/15 22:20:00, , , , ,1:0:0
107, 09/12/15 23:55:29, , , , ,1:37:33
108, 09/14/15 01:06:19, , , , ,1:32:10
109, 09/14/15 11:28:36, , , , ,0:46:14
110, 09/14/15 13:43:51, , , , ,1:40:56
111, 09/14/15 17:28:00, , , , ,0:32:0
112, 09/14/15 20:16:51, , , , ,0:10:26
113, 09/14/15 22:05:00, , , , ,0:56:51
114, 09/15/15 23:44:14, , , , ,0:38:6
115, 09/16/15 15:47:53, , , , ,0:58:57
116, 09/16/15 20:20:00, , , , ,0:59:26
117, 09/16/15 21:46:26, , , , ,1:15:21
118, 09/17/15 12:30:00, , , , ,1:34:0
119, 09/17/15 16:41:27, , , , ,0:37:16
120, 09/17/15 18:03:43, , , , ,1:5:43
121, 09/17/15 20:51:07, , , , ,1:23:15
122, 09/18/15 00:07:57, , , , ,0:39:3
123, 09/18/15 19:15:00, , , , ,1:51:0
124, 09/18/15 21:20:00, , , , ,1:15:4
125, 09/19/15 00:18:05, , , , ,1:8:38
126, 09/19/15 01:52:26, , , , ,1:59:11
127, 09/19/15 11:45:00, , , , ,1:5:0
128, 09/19/15 14:12:31, , , , ,0:43:41
129, 09/19/15 16:41:04, , , , ,2:35:21
130, 09/19/15 21:30:00, , , , ,1:14:0
131, 09/20/15 15:56:06, , , , ,2:41:48
132, 09/20/15 21:35:00, , , , ,0:27:5
133, 09/20/15 23:19:55, , , , ,0:39:27
134, 09/21/15 02:39:44, , , , ,0:19:32
135, 09/21/15 11:00:00, , , , ,2:0:55
136, 09/21/15 14:24:59, , , , ,1:1:42
137, 09/21/15 17:04:56, , , , ,0:34:4
138, 09/21/15 19:07:09, , , , ,0:32:51
139, 09/21/15 21:20:24, , , , ,2:4:28
140, 09/22/15 14:04:51, , , , ,0:50:8
141, 09/22/15 17:12:38, , , , ,1:45:21
142, 09/22/15 21:09:55, , , , ,0:39:21
143, 09/23/15 00:10:09, , , , ,1:32:56
144, 09/23/15 01:55:02, , , , ,10:16:27
145, 09/23/15 16:20:00, , , , ,0:20:11
146, 09/23/15 18:28:31, , , , ,0:47:43
147, 09/23/15 20:56:14, , , , ,0:32:57
148, 09/24/15 00:19:02, , , , ,1:6:39
149, 09/24/15 02:00:00, , , , ,0:30:0
150, 09/24/15 11:00:00, , , , ,2:15:0
151, 09/24/15 15:20:00, , , , ,0:15:0
152, 09/24/15 17:05:00, , , , ,1:0:53
153, 09/24/15 20:50:22, , , , ,1:20:43
154, 09/24/15 23:45:00, , , , ,0:30:0
155, 09/25/15 01:25:07, , , , ,10:4:53
156, 09/25/15 13:20:00, , , , ,0:33:29
157, 09/25/15 17:00:00, , , , ,1:59:30
158, 09/25/15 20:38:19, , , , ,0:33:10
159, 09/25/15 23:31:44, , , , ,0:44:40
160, 09/26/15 01:45:38, , , , ,9:20:55
161, 09/26/15 12:37:15, , , , ,0:59:10
162, 09/26/15 14:14:29, , , , ,1:33:41
163, 09/26/15 17:08:24, , , , ,1:11:36
164, 09/26/15 22:10:18, , , , ,0:30:27
165, 09/27/15 02:47:01, , , , ,10:51:34
166, 09/27/15 12:05:00, , , , ,1:33:45
167, 09/27/15 15:32:02, , , , ,0:23:46
168, 09/27/15 18:05:00, , , , ,3:17:0
169, 09/27/15 22:55:00, , , , ,1:32:3
170, 09/28/15 14:00:00, , , , ,1:15:10
171, 09/28/15 17:09:48, , , , ,0:35:33
172, 09/28/15 19:33:46, , , , ,0:34:52
173, 09/28/15 22:51:42, , , , ,0:43:24
174, 09/29/15 00:27:50, , , , ,0:23:14
175, 09/29/15 02:45:59, , , , ,9:14:1
176, 09/29/15 14:10:01, , , , ,0:34:59
177, 09/29/15 16:46:03, , , , ,0:23:57
178, 09/29/15 18:38:04, , , , ,0:21:56
179, 09/29/15 20:32:00, , , , ,1:0:16
180, 09/30/15 00:22:16, , , , ,0:34:15
181, 09/30/15 17:22:37, , , , ,2:12:51
182, 09/30/15 22:00:00, , , , ,2:6:9
183, 10/01/15 00:30:00, , , , ,0:52:0
184, 10/01/15 04:09:00, , , , ,6:21:0
185, 10/01/15 11:38:20, , , , ,1:23:42
186, 10/01/15 20:11:28, , , , ,0:22:46
187, 10/01/15 22:48:13, , , , ,0:27:53
188, 10/01/15 23:41:22, , , , ,2:21:18
189, 10/02/15 03:06:41, , , , ,8:48:42
190, 10/02/15 19:54:00, , , , ,0:21:52
191, 10/02/15 20:25:00, , , , ,0:50:0
192, 10/02/15 22:32:09, , , , ,1:15:18
193, 10/03/15 02:01:00, , , , ,9:22:34
194, 10/03/15 12:59:43, , , , ,0:39:0
195, 10/03/15 15:17:15, , , , ,0:47:39
196, 10/03/15 18:50:02, , , , ,2:5:9
197, 10/03/15 23:53:08, , , , ,3:32:50
198, 10/04/15 03:47:00, , , , ,9:31:0
199, 10/04/15 16:11:37, , , , ,0:22:2
200, 10/04/15 18:11:21, , , , ,0:58:50
201, 10/04/15 21:32:00, , , , ,1:28:0
202, 10/05/15 02:34:47, , , , ,0:23:22
203, 10/05/15 03:08:45, , , , ,0:48:39
204, 10/05/15 03:57:25, , , , ,8:51:47
205, 10/05/15 15:30:00, , , , ,0:41:0
206, 10/05/15 18:25:14, , , , ,1:20:36
207, 10/05/15 22:28:43, , , , ,1:45:50
208, 10/06/15 02:31:50, , , , ,9:47:37
209, 10/06/15 15:28:26, , , , ,0:31:51
210, 10/06/15 17:49:30, , , , ,0:51:10
211, 10/06/15 21:49:52, , , , ,0:10:56
212, 10/07/15 16:20:18, , , , ,0:30:43
213, 10/07/15 18:38:03, , , , ,0:30:12
214, 10/07/15 23:24:40, , , , ,0:48:57
215, 10/08/15 02:56:20, , , , ,11:33:40
216, 10/08/15 16:50:34, , , , ,0:37:55
217, 10/08/15 17:49:43, , , , ,0:50:59
218, 10/08/15 19:15:51, , , , ,0:27:15
219, 10/08/15 22:45:00, , , , ,0:15:0
220, 10/09/15 01:55:11, , , , ,7:38:49
221, 10/09/15 11:08:00, , , , ,1:0:0
222, 10/09/15 14:17:48, , , , ,1:7:12
223, 10/09/15 16:15:00, , , , ,0:45:0
224, 10/09/15 18:20:00, , , , ,0:30:54
225, 10/09/15 20:12:00, , , , ,1:4:30
226, 10/09/15 23:51:04, , , , ,0:32:30
227, 10/10/15 13:40:47, , , , ,2:34:1
228, 10/10/15 20:49:15, , , , ,0:33:17
229, 10/10/15 23:30:00, , , , ,1:45:0
230, 10/11/15 01:52:52, , , , ,10:54:42
231, 10/11/15 14:50:01, , , , ,0:29:59
232, 10/11/15 17:24:00, , , , ,0:15:55
233, 10/11/15 19:18:10, , , , ,2:26:50
234, 10/12/15 00:06:32, , , , ,0:26:28
235, 10/12/15 02:22:07, , , , ,10:11:27
236, 10/12/15 18:08:39, , , , ,0:26:50
237, 10/13/15 01:30:16, , , , ,11:11:44
238, 10/13/15 16:04:04, , , , ,0:19:13
239, 10/13/15 17:57:39, , , , ,0:27:14
240, 10/13/15 20:52:16, , , , ,0:31:20
241, 10/13/15 21:20:00, , , , ,1:24:18
242, 10/14/15 14:18:22, , , , ,1:44:38
243, 10/14/15 18:28:50, , , , ,1:13:21
244, 10/14/15 22:58:40, , , , ,1:11:20
245, 10/15/15 03:30:00, , , , ,1:15:0
246, 10/15/15 05:15:00, , , , ,6:50:0
247, 10/15/15 15:56:11, , , , ,1:0:13
248, 10/15/15 19:10:00, , , , ,0:22:49
249, 10/15/15 22:02:56, , , , ,0:34:57
250, 10/16/15 00:49:38, , , , ,12:53:22
251, 10/16/15 17:29:52, , , , ,1:7:24
252, 10/16/15 21:36:23, , , , ,0:25:53
253, 10/16/15 23:31:19, , , , ,0:16:2
254, 10/17/15 01:32:19, , , , ,10:30:2
255, 10/17/15 14:15:41, , , , ,0:30:14
256, 10/17/15 19:30:00, , , , ,0:30:0
257, 10/17/15 23:02:00, , , , ,1:0:37
258, 10/18/15 01:55:24, , , , ,7:34:36
259, 10/18/15 11:14:00, , , , ,0:39:43
260, 10/18/15 13:05:07, , , , ,0:47:37
261, 10/18/15 14:12:34, , , , ,1:0:38
262, 10/18/15 18:37:17, , , , ,0:1:23
263, 10/18/15 20:36:05, , , , ,0:53:17
264, 10/19/15 00:19:19, , , , ,11:40:41
265, 10/19/15 14:26:18, , , , ,0:21:24
266, 10/19/15 16:46:27, , , , ,0:40:9
267, 10/19/15 17:36:47, , , , ,1:16:58
268, 10/19/15 22:13:30, , , , ,2:24:40
269, 10/20/15 16:49:46, , , , ,1:12:7
270, 10/20/15 19:22:49, , , , ,0:25:46
271, 10/20/15 22:53:46, , , , ,0:42:15
272, 10/21/15 02:06:47, , , , ,12:13:8
273, 10/21/15 16:18:23, , , , ,0:36:11
274, 10/21/15 18:55:01, , , , ,0:34:59
275, 10/21/15 20:01:40, , , , ,0:43:44
276, 10/21/15 20:57:01, , , , ,0:47:59
277, 10/22/15 02:37:23, , , , ,10:9:47
278, 10/22/15 15:09:16, , , , ,0:34:49
279, 10/22/15 18:12:09, , , , ,0:32:58
280, 10/22/15 19:01:29, , , , ,0:46:2
281, 10/22/15 20:51:17, , , , ,1:52:23
282, 10/23/15 01:34:58, , , , ,11:3:27
283, 10/23/15 15:11:18, , , , ,1:16:38
284, 10/23/15 18:39:49, , , , ,1:33:11
285, 10/23/15 22:27:17, , , , ,1:32:43
286, 10/24/15 02:32:01, , , , ,10:27:59
287, 10/24/15 15:43:55, , , , ,0:28:43
288, 10/24/15 17:19:13, , , , ,0:15:15
289, 10/24/15 17:34:33, , , , ,2:8:54
290, 10/25/15 04:00:00, , , , ,11:9:13
291, 10/25/15 21:26:21, , , , ,0:53:26
292, 10/26/15 01:12:05, , , , ,11:15:8
293, 10/26/15 16:25:00, , , , ,0:18:19
294, 10/26/15 18:50:00, , , , ,2:35:4
295, 10/26/15 21:38:08, , , , ,0:6:13
296, 10/27/15 00:12:27, , , , ,0:12:25
297, 10/27/15 02:12:18, , , , ,11:28:39
298, 10/27/15 14:51:30, , , , ,1:8:30
299, 10/27/15 16:43:33, , , , ,0:24:55
300, 10/27/15 18:25:00, , , , ,1:27:15
301, 10/27/15 23:38:10, , , , ,12:28:14
302, 10/28/15 14:18:36, , , , ,0:35:39
303, 10/28/15 17:05:00, , , , ,2:17:33
304, 10/28/15 21:36:42, , , , ,1:47:0
305, 10/29/15 04:00:00, , , , ,7:25:0
306, 10/29/15 12:52:41, , , , ,2:2:19
307, 10/29/15 18:37:22, , , , ,0:38:1
308, 10/29/15 21:25:49, , , , ,0:37:30
309, 10/29/15 22:45:10, , , , ,0:30:48
310, 10/30/15 01:10:00, , , , ,0:34:52
311, 10/30/15 02:03:50, , , , ,10:48:26
312, 10/30/15 14:07:09, , , , ,0:23:1
313, 10/30/15 16:44:12, , , , ,1:30:48
314, 10/30/15 20:41:24, , , , ,1:22:37
315, 10/30/15 22:22:39, , , , ,1:1:41
316, 10/31/15 02:15:43, , , , ,11:9:5
317, 10/31/15 16:15:56, , , , ,1:0:34
318, 10/31/15 20:17:35, , , , ,0:12:23
319, 10/31/15 21:50:05, , , , ,2:17:26
320, 11/01/15 01:53:45, , , , ,10:38:38
321, 11/01/15 16:00:00, , , , ,1:21:49
322, 11/01/15 17:50:58, , , , ,0:17:29
323, 11/01/15 20:13:36, , , , ,0:21:24
324, 11/02/15 00:55:45, , , , ,10:46:11
325, 11/02/15 14:19:12, , , , ,0:25:44
326, 11/02/15 17:31:41, , , , ,1:28:19
327, 11/02/15 21:57:24, , , , ,0:23:19
328, 11/03/15 00:45:00, , , , ,10:30:0
329, 11/03/15 13:07:57, , , , ,0:52:3
330, 11/03/15 17:22:00, , , , ,2:58:15
331, 11/03/15 23:37:10, , , , ,1:10:23
332, 11/04/15 09:45:07, , , , ,2:7:53
333, 11/04/15 13:25:41, , , , ,0:59:19
334, 11/04/15 17:27:46, , , , ,0:47:14
335, 11/04/15 21:09:09, , , , ,1:4:39
336, 11/05/15 01:58:56, , , , ,11:9:30
337, 11/05/15 16:25:00, , , , ,0:15:0
338, 11/05/15 21:57:52, , , , ,0:56:17
339, 11/05/15 23:38:19, , , , ,0:5:9
340, 11/06/15 13:08:38, , , , ,1:44:33
341, 11/06/15 18:28:10, , , , ,0:30:58
342, 11/06/15 20:53:15, , , , ,1:26:45
343, 11/07/15 00:45:24, , , , ,0:50:47
344, 11/07/15 11:30:10, , , , ,3:29:36
345, 11/07/15 17:23:57, , , , ,0:22:51
346, 11/07/15 19:43:16, , , , ,0:25:12
347, 11/08/15 01:25:07, , , , ,0:20:53
348, 11/08/15 03:23:00, , , , ,10:20:32
349, 11/08/15 16:30:41, , , , ,1:9:19
350, 11/08/15 20:51:19, , , , ,0:18:41
351, 11/08/15 23:05:06, , , , ,1:12:7
352, 11/09/15 17:04:00, , , , ,0:10:0
353, 11/09/15 20:10:56, , , , ,2:16:24
354, 11/10/15 01:36:00, , , , ,11:46:16
355, 11/10/15 15:15:22, , , , ,1:35:33
356, 11/10/15 20:10:58, , , , ,0:24:18
357, 11/10/15 23:14:00, , , , ,0:30:0
358, 11/11/15 02:33:52, , , , ,8:50:33
359, 11/11/15 12:19:05, , , , ,0:15:41
360, 11/11/15 14:06:50, , , , ,0:26:27
361, 11/11/15 16:27:31, , , , ,2:26:19
362, 11/11/15 21:16:10, , , , ,0:30:48
363, 11/12/15 01:18:46, , , , ,10:26:14
364, 11/12/15 15:39:14, , , , ,0:27:45
365, 11/12/15 18:30:00, , , , ,1:15:0
366, 11/12/15 22:57:43, , , , ,0:32:17
367, 11/13/15 01:09:07, , , , ,10:31:58
368, 11/13/15 13:50:22, , , , ,0:13:7
369, 11/13/15 16:37:43, , , , ,1:26:46
370, 11/14/15 00:29:00, , , , ,0:33:18
371, 11/14/15 01:13:22, , , , ,9:6:38
372, 11/14/15 13:40:00, , , , ,0:17:7
373, 11/14/15 16:17:12, , , , ,0:22:48
374, 11/14/15 17:52:44, , , , ,0:45:44
375, 11/14/15 21:11:15, , , , ,0:19:6
376, 11/14/15 22:53:27, , , , ,0:30:2
377, 11/15/15 02:40:14, , , , ,9:52:32
378, 11/15/15 14:35:00, , , , ,0:45:0
379, 11/15/15 22:32:40, , , , ,1:9:8
380, 11/16/15 02:31:31, , , , ,9:39:29
381, 11/16/15 13:25:31, , , , ,1:6:20
382, 11/16/15 17:06:16, , , , ,0:28:56
383, 11/16/15 18:15:00, , , , ,0:25:0
384, 11/16/15 19:10:00, , , , ,1:39:27
385, 11/16/15 22:39:58, , , , ,0:19:15
386, 11/17/15 01:12:15, , , , ,11:12:45
387, 11/17/15 16:55:05, , , , ,1:49:55
388, 11/17/15 21:16:00, , , , ,0:31:48
389, 11/17/15 23:40:00, , , , ,0:20:0
390, 11/18/15 01:43:31, , , , ,11:10:23
391, 11/18/15 15:54:25, , , , ,0:18:27
392, 11/18/15 17:09:44, , , , ,0:13:22
393, 11/18/15 19:40:18, , , , ,1:17:2
394, 11/18/15 21:14:46, , , , ,1:25:1
395, 11/19/15 01:32:05, , , , ,0:11:55
396, 11/19/15 03:30:00, , , , ,7:0:0
397, 11/19/15 14:21:54, , , , ,0:24:32
398, 11/19/15 15:43:43, , , , ,0:33:17
399, 11/19/15 18:53:56, , , , ,0:22:19
400, 11/19/15 21:10:00, , , , ,0:31:0
401, 11/19/15 22:24:51, , , , ,0:19:44
402, 11/20/15 00:32:58, , , , ,13:0:31
403, 11/20/15 16:05:03, , , , ,1:9:57
404, 11/20/15 18:04:06, , , , ,0:11:15
405, 11/20/15 20:03:53, , , , ,0:59:7
406, 11/21/15 14:51:59, , , , ,1:0:57
407, 11/21/15 17:34:48, , , , ,1:9:44
408, 11/21/15 22:10:27, , , , ,0:50:33
409, 11/22/15 13:20:21, , , , ,1:14:59
410, 11/22/15 17:15:28, , , , ,2:57:58
411, 11/22/15 23:05:52, , , , ,0:19:8
412, 11/23/15 01:05:32, , , , ,10:23:52
413, 11/23/15 12:32:08, , , , ,0:20:32
414, 11/23/15 16:16:52, , , , ,0:32:46
415, 11/23/15 17:16:51, , , , ,1:12:56
416, 11/23/15 21:04:12, , , , ,0:52:11
417, 11/24/15 00:49:35, , , , ,10:3:25
418, 11/24/15 12:55:12, , , , ,0:19:26
419, 11/24/15 15:19:15, , , , ,1:7:26
420, 11/24/15 18:16:27, , , , ,0:28:15
421, 11/24/15 21:11:46, , , , ,0:51:58
422, 11/25/15 00:25:48, , , , ,10:1:49
423, 11/25/15 11:34:10, , , , ,0:50:48
424, 11/25/15 15:52:24, , , , ,2:8:31
425, 11/25/15 20:21:04, , , , ,1:27:7
426, 11/26/15 01:14:44, , , , ,11:0:7
427, 11/26/15 13:47:29, , , , ,2:16:15
428, 11/26/15 18:08:52, , , , ,0:54:12
429, 11/26/15 21:32:30, , , , ,0:18:8
430, 11/27/15 01:09:00, , , , ,11:17:54
431, 11/27/15 14:28:23, , , , ,0:36:32
432, 11/27/15 17:35:06, , , , ,1:6:19
433, 11/27/15 21:23:08, , , , ,0:32:51
434, 11/28/15 00:02:00, , , , ,0:29:0
435, 11/28/15 02:16:47, , , , ,10:52:26
436, 11/28/15 15:20:00, , , , ,1:35:15
437, 11/28/15 20:14:28, , , , ,0:20:13
438, 11/28/15 23:44:01, , , , ,0:24:47
439, 11/29/15 01:17:45, , , , ,11:46:11
440, 11/29/15 15:05:58, , , , ,1:0:55
441, 11/29/15 19:55:13, , , , ,0:24:1
442, 11/29/15 21:49:10, , , , ,1:33:18
443, 11/30/15 01:56:00, , , , ,10:0:0
444, 11/30/15 16:09:39, , , , ,0:34:21
445, 11/30/15 20:25:49, , , , ,0:34:11
446, 12/01/15 01:17:54, , , , ,11:29:25
447, 12/01/15 14:58:08, , , , ,0:40:4
448, 12/01/15 18:05:00, , , , ,1:30:0
449, 12/01/15 23:29:37, , , , ,1:23:37
450, 12/02/15 02:54:55, , , , ,9:35:5
451, 12/02/15 15:30:00, , , , ,0:27:43
452, 12/02/15 17:43:41, , , , ,0:26:47
453, 12/03/15 01:01:25, , , , ,10:26:35
454, 12/03/15 13:40:00, , , , ,1:50:0
455, 12/03/15 18:00:00, , , , ,0:30:0
456, 12/04/15 00:00:00, , , , ,0:36:0
457, 12/04/15 02:40:00, , , , ,10:20:0
458, 12/04/15 15:35:49, , , , ,1:47:3
459, 12/04/15 19:30:00, , , , ,3:9:0
460, 12/05/15 00:00:00, , , , ,0:25:0
461, 12/05/15 02:27:00, , , , ,9:0:0
462, 12/05/15 12:40:00, , , , ,0:31:0
463, 12/05/15 17:20:00, , , , ,2:0:56
464, 12/05/15 21:40:00, , , , ,1:25:0
465, 12/06/15 02:29:09, , , , ,9:30:51
466, 12/06/15 15:33:14, , , , ,0:59:57
467, 12/06/15 19:36:41, , , , ,0:43:2
468, 12/07/15 00:46:00, , , , ,10:44:0
469, 12/07/15 13:07:00, , , , ,0:38:0
470, 12/07/15 16:30:00, , , , ,0:40:21
471, 12/07/15 20:11:20, , , , ,0:31:11
472, 12/08/15 00:20:36, , , , ,0:25:24
473, 12/08/15 01:30:00, , , , ,0:48:29
474, 12/08/15 02:18:43, , , , ,9:42:15
475, 12/08/15 14:25:57, , , , ,0:34:9
476, 12/08/15 18:15:03, , , , ,1:14:57
477, 12/08/15 23:05:15, , , , ,0:54:45
478, 12/09/15 05:49:19, , , , ,5:54:41
479, 12/09/15 13:59:47, , , , ,2:35:35
480, 12/09/15 19:42:37, , , , ,0:24:55
481, 12/10/15 01:57:59, , , , ,10:32:1
482, 12/10/15 15:31:37, , , , ,0:11:48
483, 12/10/15 16:48:34, , , , ,0:36:44
484, 12/10/15 17:38:17, , , , ,0:8:35
485, 12/10/15 19:49:47, , , , ,0:58:19
486, 12/11/15 00:59:10, , , , ,10:59:25
487, 12/11/15 14:04:56, , , , ,1:40:4
488, 12/11/15 19:00:14, , , , ,0:27:21
489, 12/12/15 00:30:17, , , , ,11:29:43
490, 12/12/15 14:16:19, , , , ,1:36:2
491, 12/12/15 18:34:21, , , , ,0:24:4
492, 12/12/15 21:45:00, , , , ,0:21:53
493, 12/13/15 00:30:00, , , , ,12:14:16
494, 12/13/15 15:06:49, , , , ,1:34:52
495, 12/13/15 19:05:50, , , , ,0:13:10
496, 12/13/15 21:46:00, , , , ,0:33:0
497, 12/14/15 01:47:29, , , , ,11:41:35
498, 12/14/15 13:29:05, , , , ,0:43:43
499, 12/14/15 16:49:00, , , , ,0:20:20
500, 12/14/15 19:45:00, , , , ,1:0:0
501, 12/15/15 01:34:10, , , , ,10:51:30
502, 12/15/15 14:56:33, , , , ,0:29:27
503, 12/16/15 00:47:00, , , , ,11:56:11
504, 12/16/15 14:34:15, , , , ,0:27:19
505, 12/16/15 17:09:24, , , , ,0:0:3
506, 12/16/15 18:02:30, , , , ,1:58:10
507, 12/16/15 20:35:05, , , , ,0:44:55
508, 12/17/15 12:04:23, , , , ,0:0:1
509, 12/17/15 14:03:11, , , , ,0:56:49
510, 12/17/15 17:38:54, , , , ,0:21:6
511, 12/17/15 20:50:00, , , , ,0:50:0
512, 12/18/15 00:33:52, , , , ,8:26:8
513, 12/18/15 10:25:00, , , , ,0:25:0
514, 12/18/15 13:02:19, , , , ,0:30:5
515, 12/18/15 15:16:18, , , , ,0:31:57
516, 12/19/15 00:10:00, , , , ,0:19:29
517, 12/19/15 00:56:11, , , , ,8:36:49
518, 12/19/15 11:35:00, , , , ,0:25:0
519, 12/19/15 14:51:54, , , , ,1:8:41
520, 12/19/15 18:57:23, , , , ,0:23:33
521, 12/19/15 21:05:27, , , , ,1:54:33
522, 12/20/15 02:00:40, , , , ,9:37:35
